,user_id,item_id,score
0,5,Moonstruck,1
1,5,Erin Brockovich,1
2,5,Gone in 60 Seconds,1
3,5,Beauty and the Beast,1
4,5,Legends of the Fall,1
5,5,To Gillian on Her 37th Birthday,1
6,5,Straight Story The,1
7,5,Hercules,1
8,5,Babe,1
9,5,Pocahontas,1
10,5,Umbrellas of Cherbourg The Parapluies de Cherbourg Les,1
11,5,Aladdin,1
12,5,Top Gun,1
13,5,Mask of Zorro The,1
14,5,Shakespeare in Love,1
15,5,Grease,1
16,5,Where the Heart Is,1
17,5,Tequila Sunrise,1
18,5,Gladiator,1
19,5,My Best Friend s Wedding,1
20,5,Mary Poppins,1
21,5,Shanghai Noon,1
22,5,Murphy s Romance,1
23,5,Arthur,0
24,5,Splash,0
25,5,Other Sister The,0
26,5,Apple Dumpling Gang The,0
27,5,Speed,0
28,5,Dances with Wolves,0
29,5,Peggy Sue Got Married,0
30,5,Pulp Fiction,0
31,7,Robin Hood Prince of Thieves,1
32,7,Matrix The,1
33,7,Schindler s List,1
34,7,Casino,1
35,7,American History X,1
36,7,Leaving Las Vegas,1
37,7,Dead Man Walking,1
38,7,Face Off,1
39,7,He Got Game,1
40,7,What s Eating Gilbert Grape,1
41,7,People vs Larry Flynt The,1
42,7,Total Recall,1
43,7,Taxi Driver,1
44,7,Run Lola Run Lola rennt,1
45,7,Moll Flanders,1
46,7,Apollo 13,1
47,7,High Fidelity,1
48,7,Deconstructing Harry,1
49,7,Titanic,1
50,7,GoodFellas,1
51,7,Hard Boiled Lashou shentan,1
52,7,Kundun,1
53,7,Mariachi El,1
54,7,Akira,1
55,7,Hamlet,1
56,7,Legends of the Fall,1
57,7,Rudy,1
58,7,Joy Luck Club The,1
59,7,Truman Show The,1
60,7,Bridges of Madison County The,1
61,7,True Romance,1
62,7,Men in Black,1
63,7,Gattaca,1
64,7,Patriot Games,1
65,7,Buffalo 66,1
66,7,Interview with the Vampire,1
67,7,Insider The,0
68,7,Waiting to Exhale,0
69,7,Amistad,0
70,7,Beloved,0
71,7,Midnight in the Garden of Good and Evil,0
72,7,Alive,0
73,7,Scent of a Woman,0
74,7,Bodyguard The,0
75,7,Private Parts,0
76,7,Firm The,0
77,7,Mask of Zorro The,0
78,7,Few Good Men A,0
79,7,Rock The,0
80,7,Ronin,0
81,7,Godfather Part III The,0
82,7,What Dreams May Come,0
83,7,Anna and the King,0
84,7,Adventures of Priscilla Queen of the Desert The,0
85,7,General s Daughter The,0
86,7,Devil s Own The,0
87,7,Nell,0
88,7,Elizabeth,0
89,7,Mr Saturday Night,0
90,7,Summer of Sam,0
91,10,Schizopolis,1
92,10,Christmas Story A,1
93,10,Dream With the Fishes,1
94,10,So I Married an Axe Murderer,1
95,10,Usual Suspects The,1
96,10,Monty Python s Life of Brian,1
97,10,Shawshank Redemption The,1
98,10,Cider House Rules The,1
99,10,Silence of the Lambs The,1
100,10,Forrest Gump,1
101,10,Hurricane The,1
102,10,Raising Arizona,1
103,10,Good Morning Vietnam,1
104,10,There s Something About Mary,1
105,10,Good Will Hunting,1
106,10,Princess Bride The,1
107,10,Raiders of the Lost Ark,1
108,10,Half Baked,1
109,10,Pecker,1
110,10,Wedding Singer The,1
111,10,My Cousin Vinny,1
112,10,Big Lebowski The,1
113,10,This Is Spinal Tap,1
114,10,Fight Club,1
115,10,Pee wee s Big Adventure,1
116,10,Adventures of Priscilla Queen of the Desert The,1
117,10,What About Bob,1
118,10,Deconstructing Harry,1
119,10,Happy Gilmore,1
120,10,Holy Man,0
121,10,That Thing You Do,0
122,10,Orgazmo,0
123,10,Fatal Attraction,0
124,10,Backdraft,0
125,10,Dead Man Walking,0
126,10,Pushing Tin,0
127,10,Waking Ned Devine,0
128,10,Mumford,0
129,10,Ghost,0
130,10,Pretty Woman,0
131,10,Almost Heroes,0
132,10,Four Weddings and a Funeral,0
133,10,Braveheart,0
134,10,Mr Death The Rise and Fall of Fred A Leuchter Jr,0
135,10,Patch Adams,0
136,10,Boogie Nights,0
137,10,Blair Witch Project The,0
138,10,Vegas Vacation,0
139,10,League of Their Own A,0
140,10,Dazed and Confused,0
141,10,Wag the Dog,0
142,10,Dumb Dumber,0
143,10,Teaching Mrs Tingle,0
144,10,Young Frankenstein,0
145,10,Remains of the Day The,0
146,10,Deuce Bigalow Male Gigolo,0
147,10,Madness of King George The,0
148,10,Truman Show The,0
149,10,Secret Garden The,0
150,10,Inventing the Abbotts,0
151,27,Philadelphia Story The,1
152,27,Goldfinger,1
153,27,Breakfast at Tiffany s,1
154,27,Trainspotting,1
155,27,Casablanca,1
156,27,Pleasantville,1
157,27,Roman Holiday,1
158,27,Grifters The,1
159,27,Notorious,1
160,27,Nightmare Before Christmas The,1
161,27,Princess Bride The,1
162,27,Breakfast Club The,1
163,27,Aliens,1
164,27,Alien,1
165,27,Shawshank Redemption The,1
166,27,Henry V,1
167,27,Amadeus,1
168,27,Sixth Sense The,1
169,27,Boys Don t Cry,1
170,27,Dangerous Liaisons,1
171,27,Monty Python and the Holy Grail,1
172,27,Eve s Bayou,1
173,27,Young Frankenstein,1
174,27,Heathers,1
175,27,Rear Window,1
176,27,Pecker,1
177,27,Raiders of the Lost Ark,1
178,27,Groundhog Day,1
179,27,Blazing Saddles,1
180,27,Manhattan,1
181,27,Jurassic Park,0
182,27,Moll Flanders,0
183,27,Buffalo 66,0
184,27,Matrix The,0
185,27,Beetlejuice,0
186,27,Fast Times at Ridgemont High,0
187,27,Leaving Las Vegas,0
188,27,Black Cauldron The,0
189,27,Silence of the Lambs The,0
190,27,Dark City,0
191,27,Apocalypse Now,0
192,27,One Flew Over the Cuckoo s Nest,0
193,27,Firm The,0
194,27,E T the Extra Terrestrial,0
195,27,L A Confidential,0
196,33,Mary Poppins,1
197,33,Heathers,1
198,33,Stepmom,1
199,33,Center Stage,1
200,33,10 Things I Hate About You,1
201,33,Lethal Weapon,1
202,33,Scrooged,1
203,33,Naked Gun From the Files of Police Squad The,1
204,33,Never Been Kissed,1
205,33,Trading Places,1
206,33,Sixteen Candles,1
207,33,American History X,1
208,33,Airplane II The Sequel,1
209,33,So I Married an Axe Murderer,1
210,33,Midnight Run,1
211,33,Full Monty The,1
212,33,Bull Durham,1
213,33,Princess Bride The,1
214,33,Tomorrow Never Dies,1
215,33,Jerk The,1
216,33,Shawshank Redemption The,1
217,33,Young Frankenstein,1
218,33,Drive Me Crazy,1
219,33,Ghost,1
220,33,Days of Thunder,1
221,33,Adventures in Babysitting,1
222,33,Pretty in Pink,1
223,33,Risky Business,1
224,33,Forrest Gump,1
225,33,Notting Hill,1
226,33,Jerry Maguire,1
227,33,You ve Got Mail,1
228,33,Grumpy Old Men,1
229,33,Wrong Trousers The,1
230,33,Beetlejuice,1
231,33,Sliding Doors,1
232,33,Blair Witch Project The,1
233,33,Benny Joon,1
234,33,Good Will Hunting,1
235,33,Breakfast Club The,1
236,33,She s All That,1
237,33,Frequency,1
238,33,To Kill a Mockingbird,1
239,33,Bodyguard The,1
240,33,Dazed and Confused,1
241,33,Psycho,1
242,33,Great Expectations,1
243,33,Airplane,1
244,33,European Vacation,1
245,33,Vacation,1
246,33,Much Ado About Nothing,1
247,33,As Good As It Gets,1
248,33,Soapdish,0
249,33,Addicted to Love,0
250,33,Sabrina,0
251,33,Christmas Vacation,0
252,33,High Fidelity,0
253,33,Searching for Bobby Fischer,0
254,33,Pacific Heights,0
255,33,Hope Floats,0
256,33,Desperado,0
257,33,Strictly Ballroom,0
258,33,Wayne s World,0
259,33,Who s Harry Crumb,0
260,33,Harry and the Hendersons,0
261,33,Splash,0
262,33,L A Story,0
263,33,Conspiracy Theory,0
264,33,Scream 2,0
265,33,Buffy the Vampire Slayer,0
266,33,Matilda,0
267,33,Free Willy,0
268,33,Back to the Future Part II,0
269,33,Grease 2,0
270,34,Breathless,1
271,34,High Noon,1
272,34,Chinatown,1
273,34,Unforgiven,1
274,34,Arsenic and Old Lace,1
275,34,All About My Mother Todo Sobre Mi Madre,1
276,34,Being There,1
277,34,My Life as a Dog Mitt liv som hund,1
278,34,Young Frankenstein,1
279,34,This Is Spinal Tap,1
280,34,African Queen The,1
281,34,Lone Star,1
282,34,Searchers The,1
283,34,Kagemusha,1
284,34,Hard Day s Night A,1
285,34,Yojimbo,1
286,34,Belle de jour,1
287,34,Kaspar Hauser,1
288,34,Crying Game The,1
289,34,Pulp Fiction,1
290,34,Sling Blade,1
291,34,Player The,1
292,34,Blazing Saddles,1
293,34,Monty Python s Life of Brian,1
294,34,Shakespeare in Love,1
295,34,Grease,1
296,34,Hairspray,1
297,34,Singin in the Rain,1
298,34,Run Lola Run Lola rennt,1
299,34,Lord of the Flies,1
300,34,Breakfast at Tiffany s,1
301,34,Sabrina,1
302,34,Wizard of Oz The,1
303,34,Marty,1
304,34,Man for All Seasons A,1
305,34,Raiders of the Lost Ark,1
306,34,Seven Beauties Pasqualino Settebellezze,1
307,34,Ran,1
308,34,Afterglow,1
309,34,Cat on a Hot Tin Roof,1
310,34,Blowup,1
311,34,Annie Hall,1
312,34,Guys and Dolls,1
313,34,Dumbo,0
314,34,Pete s Dragon,0
315,34,Holiday Inn,0
316,34,Patton,0
317,34,Purple Rose of Cairo The,0
318,34,Cool Hand Luke,0
319,34,Never Cry Wolf,0
320,34,Jeremiah Johnson,0
321,34,Shampoo,0
322,34,Strangers on a Train,0
323,34,Little Mermaid The,0
324,34,Dead Man Walking,0
325,34,Sound of Music The,0
326,34,Nutty Professor The,0
327,34,English Patient The,0
328,34,Shawshank Redemption The,0
329,34,Walking and Talking,0
330,34,Big Chill The,0
331,34,Beauty and the Beast,0
332,34,Year of Living Dangerously,0
333,34,Talented Mr Ripley The,0
334,34,Hang em High,0
335,34,You ve Got Mail,0
336,34,Goldfinger,0
337,34,Jonah Who Will Be 25 in the Year 2000,0
338,34,My Fair Lady,0
339,34,Beyond Rangoon,0
340,34,Chariots of Fire,0
341,34,Gigi,0
342,34,Murphy s Romance,0
343,34,Giant,0
344,34,Outlaw Josey Wales The,0
345,34,Big Lebowski The,0
346,34,Right Stuff The,0
347,34,Spice World,0
348,34,Everything You Always Wanted to Know About Sex,0
349,53,Annie Hall,1
350,53,Harold and Maude,1
351,53,Babe,1
352,53,American Graffiti,1
353,53,Airplane,1
354,53,How I Won the War,1
355,53,Full Monty The,1
356,53,Odd Couple The,1
357,53,Producers The,1
358,53,Cool Hand Luke,1
359,53,Raising Arizona,1
360,53,Arsenic and Old Lace,1
361,53,Prizzi s Honor,1
362,53,One Flew Over the Cuckoo s Nest,1
363,53,Ed Wood,1
364,53,Shaggy Dog The,0
365,53,Dog Day Afternoon,0
366,55,Last of the Mohicans The,1
367,55,Heat,1
368,55,One False Move,1
369,55,Leaving Las Vegas,1
370,55,Crimson Tide,1
371,55,Bug s Life A,1
372,55,GoodFellas,1
373,55,Reservoir Dogs,1
374,55,Fugitive The,1
375,55,Sixth Sense The,1
376,55,Three Kings,1
377,55,L A Confidential,1
378,55,Shakespeare in Love,1
379,55,Ice Storm The,1
380,55,Full Monty The,1
381,55,Lion King The,1
382,55,Hoop Dreams,1
383,55,Thin Red Line The,1
384,55,Babe,1
385,55,Saving Private Ryan,1
386,55,Braveheart,1
387,55,Waking Ned Devine,1
388,55,Silence of the Lambs The,0
389,55,Doctor Dolittle,0
390,55,Good Will Hunting,0
391,55,Haunted Honeymoon,0
392,55,Swingers,0
393,55,Breakfast at Tiffany s,0
394,55,Sling Blade,0
395,55,Jackie Brown,0
396,71,Good Will Hunting,1
397,71,Almost Famous,1
398,71,Fatal Attraction,1
399,71,Apollo 13,1
400,71,Passion Fish,1
401,71,Patriot The,1
402,71,Saving Private Ryan,1
